insertionSort
1000, 0
2000, 0.002939
3000, 0.010182
4000, 0.018963
5000, 0.031349
6000, 0.045426
7000, 0.058874
8000, 0.074945
9000, 0.093029
10000, 0.114904
11000, 0.139053
12000, 0.163625
13000, 0.191022
14000, 0.223846
15000, 0.253811
16000, 0.288075
17000, 0.326227
18000, 0.365242
19000, 0.407966
20000, 0.452165
21000, 0.490556
22000, 0.538742
23000, 0.597269
24000, 0.640922
25000, 0.69232
26000, 0.745873
27000, 0.802956
28000, 0.865538
29000, 0.924809
30000, 0.982125
31000, 1.0461
32000, 1.11488
33000, 1.18305
34000, 1.2567
35000, 1.33164
36000, 1.40454
37000, 1.48506
38000, 1.56804
39000, 1.65153
40000, 1.73277
41000, 1.81805
42000, 1.90606
43000, 1.99049
44000, 2.09581
45000, 2.17795
46000, 2.28308
47000, 2.37679
48000, 2.47884
49000, 2.5842
50000, 2.68459
51000, 2.79508
52000, 2.92434
53000, 3.05251
54000, 3.13463
55000, 3.25101
56000, 3.39517
57000, 3.50202
58000, 3.62566
59000, 3.75009
60000, 3.85807
61000, 3.98231
62000, 4.12208
63000, 4.25338
64000, 4.4236
65000, 4.55743
66000, 4.6593
67000, 4.79208
68000, 4.93914
69000, 5.08163
70000, 5.33386
71000, 5.43018
72000, 5.61579
73000, 5.74122
74000, 5.90806
75000, 6.06733
76000, 6.2099
77000, 6.39982
78000, 6.55404
79000, 6.70421
80000, 6.92143
81000, 7.0237
82000, 7.20528
83000, 7.38706
84000, 7.53674
85000, 7.70995
86000, 7.87801
87000, 8.04102
88000, 8.22387
89000, 8.40735
90000, 8.59259
91000, 8.78815
92000, 8.83216
93000, 9.00135
94000, 9.16683
95000, 9.37355
96000, 9.63874
97000, 9.91366
98000, 10.2818
99000, 10.2489
100000, 10.5637
